site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
NID,03/05/2019 06:32,NA,NA,NA,NA,NA,NA,NA
NID,03/09/2019 05:10,0.0078226,0.79256,0.20279,0.1902,1.9736,0.41577,0.5806
NID,03/13/19 04:31,NA,NA,NA,NA,NA,NA,NA
NID,03/16/19 04:52,0.34458,1.4511,-0.2,0.5414,1.8008,3.1837,0.50743
NID,03/20/19 06:18,2.2969,-0.2,1.9307,2.1388,1.7404,1.6874,0.29937
NID,03/24/19 05:37,0.98573,1.784,0.79007,-0.11254,0.74564,2.4369,1.0199
NID,03/27/19 06:05,0.18012,0.51705,0.6431,2.5,2.5823,0.073507,0.75307
NID,03/31/19 06:16,0.30645,0.28206,0.3068,0.95721,0.52888,0.42591,0.39849
NID,04/02/2019 06:55,-0.024839,1.9349,0.59944,0.30763,-0.2,0.13928,1.11
NID,04/08/2019 06:32,2.9703,0.19755,-0.2,4.0371,0.0038846,0.71607,0.35821
NID,04/10/2019 07:25,0.65088,0.52327,-0.092265,0.41566,1.3317,3.7181,0.33086
NID,04/17/19 05:57,3.6718,-0.05423,0.13164,2.2567,2.3601,0.93848,2.4947
NID,04/18/19 09:05,1.1781,0.72611,0.43521,1.9313,1.0858,-0.2,1.5988
NID,04/22/19 09:16,1.2484,-0.2,-0.089021,3.35,1.6003,0.81853,0.28131
NID,04/24/19 08:00,1.1417,0.78548,-0.11005,0.94835,1.0796,0.71018,0.45573
NID,04/29/19 08:22,1.475,1.3663,0.33833,1.0266,1.0161,0.12477,0.65528
NID,04/30/19 06:42,NA,NA,NA,NA,NA,NA,NA
NID,05/07/2019 07:00,0.94938,-0.2,0.77575,1.7588,0.26177,0.14908,0.32861
NID,05/09/2019 06:16,0.5096,0.41748,0.2165,1.4834,1.2267,0.60985,0.49305
NID,05/12/2019 08:55,0.93713,0.16839,0.23042,0.29281,0.46153,0.5569,-0.051683
NID,05/15/19 08:55,NA,NA,NA,NA,NA,NA,NA
NID,05/20/19 07:47,2.3669,0.97546,0.57936,1.7535,0.73858,0.76141,0.8183
NID,05/22/19 09:10,NA,NA,NA,NA,NA,NA,NA
NID,05/26/19 06:30,2.2112,0.53613,0.62073,1.8577,-0.11285,0.14251,0.08414
NID,05/27/19 08:02,5.0958,2.7795,0.61145,2.6304,-0.2,0.72334,1.1172
