site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
MIC,2019-12-27T12:55:00Z,0.28029,-0.2,1.9507,1.7095,-0.2,0.45296,-0.059529
MIC,2019-12-30T10:25:00Z,1.3933,1.5667,1.1307,1.1352,-0.17391,0.76487,0.4277
MIC,2020-01-01T09:31:00Z,0.45519,0.26545,1.5041,0.025607,-0.09237,1.5827,0.45255
MIC,2020-01-05T09:15:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-01-08T16:06:00Z,0.88076,0.82982,0.098532,0.71656,1.2716,4.5182,0.57259
MIC,2020-01-13T15:22:00Z,0.84215,0.93325,0.50864,0.019409,1.4908,0.32179,1.6651
MIC,2020-01-15T17:30:00Z,1.4506,1.4915,-0.019213,1.6886,0.98548,1.5533,1.5466
MIC,2020-01-18T07:16:00Z,0.61428,1.4093,-0.009811,1.0323,1.2737,0.74028,0.76182
MIC,2020-01-23T14:29:00Z,0.44977,-0.1215,0.16883,0.58649,-0.1296,0.28024,0.48762
MIC,2020-01-29T09:37:00Z,-0.15572,0.9191,1.9844,-0.026664,2.121,1.9396,1.4303
MIC,2020-01-31T15:21:00Z,0.57397,1.2896,-0.01314,0.31388,-0.023763,2.4908,0.56727
MIC,2020-02-06T08:23:00Z,0.6842,0.57149,0.76777,1.7282,1.4658,-0.12685,1.2659
MIC,2020-02-07T08:51:00Z,0.40893,0.30814,1.6461,2.3684,1.0759,0.24501,0.1764
MIC,2020-02-10T13:16:00Z,1.4423,0.88438,1.0741,3.675,0.85506,0.29045,0.82113
MIC,2020-02-14T09:58:00Z,2.4058,0.7956,3.8265,2.6239,2.1906,-0.031136,0.47674
MIC,2020-02-15T07:35:00Z,1.9725,1.7942,0.27895,0.064017,0.64182,0.23273,0.65111
MIC,2020-02-16T09:48:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-02-23T10:35:00Z,1.4958,1.4779,2.5274,1.3689,0.63227,0.038069,0.38534
MIC,2020-02-28T13:04:00Z,2.1013,1.2456,1.3828,1.5195,0.75749,0.10528,0.41484
MIC,2020-03-01T10:04:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-03-03T14:00:00Z,0.55967,0.62561,1.3352,1.1797,0.68039,-0.045262,0.59096
MIC,2020-03-08T11:54:00Z,1.5703,1.802,3.4575,2.5657,-0.070566,0.0042152,0.85634
MIC,2020-03-09T10:20:00Z,2.6792,1.8917,0.41485,0.091903,0.44533,0.039772,1.1901
MIC,2020-03-16T12:37:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-03-19T08:21:00Z,2.4835,1.2755,0.045044,-0.2,0.34553,2.6195,1.0519
MIC,2020-03-24T14:35:00Z,0.79792,0.50942,0.48682,0.42912,0.024608,0.2839,0.96804
MIC,2020-03-26T14:30:00Z,0.82086,0.96355,-0.083949,0.0036212,-0.070431,0.17052,1.2031
MIC,2020-03-28T13:26:00Z,0.24131,0.67922,0.49363,1.2491,-0.19398,0.56663,0.5678
MIC,2020-03-30T12:42:00Z,0.90699,1.1709,0.26728,1.2762,0.12798,1.7297,0.55252
MIC,2020-04-06T14:27:00Z,0.70745,1.5488,-0.004831,1.1682,0.022751,0.73238,1.2416
MIC,2020-04-07T14:29:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-04-11T10:42:00Z,1.1232,0.91308,1.3767,0.29699,-0.036658,-0.2,1.1681
MIC,2020-04-14T17:21:00Z,1.2398,0.27089,1.3026,0.99294,-0.0024755,0.48269,0.61863
MIC,2020-04-19T15:00:00Z,0.69359,0.46677,0.62618,1.0168,0.051426,0.044174,0.65631
MIC,2020-04-20T15:42:00Z,1.7885,0.68215,0.12501,1.1013,0.054018,0.30817,1.2215
MIC,2020-04-27T12:09:00Z,0.5742,0.62491,0.35442,0.29313,0.7353,1.5311,0.7175
MIC,2020-04-29T13:45:00Z,1.4951,1.0111,1.2789,-0.068849,0.90743,1.74,0.86224
MIC,2020-05-03T12:10:00Z,0.93197,0.42159,1.4953,1.1604,0.43682,0.13337,0.17554
MIC,2020-05-06T09:40:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-05-14T10:21:00Z,0.67076,0.50379,2.1073,0.14017,0.57438,0.49194,0.55019
MIC,2020-05-15T12:50:00Z,1.2814,0.78439,0.2236,-0.012476,0.2498,0.69238,0.98449
MIC,2020-05-17T15:38:00Z,1.2949,-0.086083,1.8787,-0.068911,0.33736,1.4709,1.7851
MIC,2020-05-20T11:46:00Z,0.82044,1.1667,0.34288,0.40286,1.8382,0.72601,0.69084
MIC,2020-05-26T16:42:00Z,3.8617,0.55679,0.85077,0.82031,-0.2,0.13562,1.5898
MIC,2020-05-28T11:24:00Z,2.8395,1.7665,0.72692,0.10708,2.0581,-0.08563,2.4891
MIC,2020-05-31T10:22:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-06-04T14:51:00Z,0.28329,0.29266,-0.07457,0.074005,0.19459,0.26537,1.3933
MIC,2020-06-07T16:00:00Z,1.1932,0.29564,0.96893,1.0111,4.1366,-0.15856,2.3146
MIC,2020-06-09T08:23:00Z,-0.068808,0.45981,-0.056283,0.078273,0.68534,0.044032,1.6601
MIC,2020-06-15T08:22:00Z,0.41645,0.5609,-0.2,0.017133,0.13713,2.0247,1.2213
MIC,2020-06-19T07:43:00Z,1.8219,0.049257,0.77235,0.52257,1.8079,0.15834,1.6499
MIC,2020-06-20T10:43:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-06-22T13:21:00Z,1.6667,1.0329,0.15407,-0.13436,0.25692,4.0208,1.5333
MIC,2020-07-01T08:27:00Z,1.8897,0.14861,0.85829,0.2171,0.17073,0.33798,1.2674
MIC,2020-07-02T08:35:00Z,2.2525,-0.088073,0.94337,0.78196,0.98858,-0.14611,2.7633
MIC,2020-07-10T08:27:00Z,0.80655,0.45054,0.66766,0.018225,0.83951,0.22149,1.1939
MIC,2020-07-11T15:30:00Z,0.31512,2.4071,1.1593,0.6053,0.35722,0.71402,1.9181
MIC,2020-07-15T11:39:00Z,1.3054,1.3461,0.43731,0.11645,0.099275,1.9941,0.70477
MIC,2020-07-23T08:31:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-07-31T14:24:00Z,0.40362,0.38803,2.0979,1.1579,0.72787,0.018533,1.7455
MIC,2020-08-06T17:38:00Z,0.1424,0.77991,0.15351,0.4929,0.32283,1.7494,1.2457
MIC,2020-08-07T17:43:00Z,-0.2,0.69972,1.1339,1.1674,1.1503,3.3322,2.1951
MIC,2020-08-11T17:06:00Z,0.023784,2.136,0.55812,0.18851,-0.072919,2.6009,0.64674
MIC,2020-08-13T17:26:00Z,0.2052,0.22059,-0.16451,-0.010091,0.12687,1.2521,0.61482
MIC,2020-08-17T08:30:00Z,-0.14856,0.63601,-0.031689,0.0020065,0.75702,2.1256,1.5673
MIC,2020-08-25T11:36:00Z,0.58957,0.35408,0.94693,1.4872,1.5752,-0.2,0.88019
MIC,2020-08-26T17:44:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-08-30T14:32:00Z,-0.097637,0.94182,0.10955,0.027845,0.17847,1.0198,0.61078
MIC,2020-09-03T09:52:00Z,2.0232,3.1557,2.0646,1.9647,1.4024,0.5439,0.55649
MIC,2020-09-05T09:57:00Z,1.2756,0.48013,0.76574,0.32193,0.31006,1.0451,0.47475
MIC,2020-09-06T16:23:00Z,0.20394,0.24506,0.69986,0.99004,-0.040493,1.1512,0.19049
MIC,2020-09-12T10:36:00Z,2.6934,2.4212,3.088,-0.094928,-0.042806,3.7447,1.2667
MIC,2020-09-22T08:26:00Z,1.3066,1.1114,1.2628,0.34259,0.054589,-0.042187,0.74837
MIC,2020-09-24T17:42:00Z,1.1438,0.69146,1.2035,1.4496,2.568,0.55136,0.89716
MIC,2020-09-29T13:38:00Z,0.60929,1.6841,1.2017,0.72196,1.729,0.15593,0.88452
MIC,2020-10-01T16:10:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2020-10-04T12:34:00Z,6.096e-4,0.14416,0.83318,0.50233,0.65161,0.077892,0.16495
MIC,2020-10-06T15:45:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-09-01T15:46:00Z,6.195,2.1679,0.56644,-0.2,0.32594,0.54949,1.028
NID,2018-09-07T09:33:00Z,0.65771,1.4206,1.6762,-0.17919,0.53266,1.0086,0.90993
NID,2018-09-10T10:17:00Z,0.45494,2.1787,1.5239,0.28252,1.5285,0.64459,1.399
NID,2018-09-14T09:40:00Z,3.7216,-0.2,3.1722,1.3651,1.0208,5.2076,2.1445
NID,2018-09-19T10:00:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-09-20T10:10:00Z,-0.035498,2.1789,3.0822,1.0826,1.5343,0.41761,1.7351
NID,2018-09-22T10:46:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-09-23T09:59:00Z,-0.027934,1.3117,1.427,0.43346,1.0677,0.52582,0.47669
NID,2018-09-30T10:57:00Z,2.6349,1.5381,1.0815,0.11294,1.0449,0.1734,0.17202
NID,2018-10-02T10:05:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-10-08T10:23:00Z,-0.10174,1.3149,0.25068,0.83912,1.4183,0.080398,0.52475
NID,2018-10-09T10:27:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-10-17T10:03:00Z,0.047503,0.95026,1.0392,1.6227,2.3258,0.048284,0.67877
NID,2018-10-19T15:28:00Z,0.95393,0.086508,1.5556,0.53352,0.37901,0.88109,0.20525
NID,2018-10-23T10:32:00Z,0.19307,0.012421,0.36102,0.34692,0.078836,0.10364,0.2569
NID,2018-10-31T09:46:00Z,0.1061,1.2443,3.2118,1.2955,-0.2,0.67038,0.11616
NID,2018-11-01T10:30:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-11-06T09:45:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-11-08T08:04:00Z,1.7697,-0.01924,0.39008,0.81492,0.72151,0.91054,0.37819
