Strata,Outcome,Group,Source,Model,Moving Average,Controls(n),Cases(n),Odds Ratio,Lower 95%CI,Upper 95%CI,% increase,% increase Lower 95%CI,% increase Upper 95%CI,AIC,BIC
site_DOW_MONTH_Year,Respiratory,All,Fresh sea salt mixed with aged emissions,Primary model,3-day moving average,3168,1060,1.1365397025284232,1.0844505766756025,1.1886288283812438,13.653970252842317,8.445057667560253,18.862882838124385,2164.0041157198802,2198.766285029623
site_DOW_MONTH_Year,Respiratory,All,Industrial emissions,Primary model,3-day moving average,3149,1079,1.1124161755544022,1.0517453135645598,1.1730870375442446,11.24161755544022,5.17453135645598,17.30870375442446,1444.5492735354708,1479.4358032922778
site_DOW_MONTH_Year,Respiratory,All,Secondary sulfate,Primary model,3-day moving average,3149,1079,1.3085450475014002,1.2499698005407591,1.3671202944620413,30.854504750140023,24.996980054075912,36.71202944620413,1922.0322667026883,1956.9187964594953
site_DOW_MONTH_Year,Respiratory,All,"Combustion of biomass, coal and fossil fuels",Primary model,3-day moving average,3170,1058,0.9879615869301422,0.9458970486813931,1.0300261251788914,-1.2038413069857756,-5.410295131860687,3.002612517889136,1841.5254758870742,1876.2744251740019
site_DOW_MONTH_Year,Respiratory,Female,Mineral dust and soil ressuspension,Sensitivity model,3-day moving average,1442,489,1.2817038440709088,1.1963999147158881,1.3670077734259294,28.170384407090875,19.639991471588814,36.700777342592936,629.6372012430438,658.9837386693679
site_DOW_MONTH_Year,Respiratory,Female,Aged sea salt,Sensitivity model,3-day moving average,1447,484,1.371423534072092,1.2096356669044757,1.5332114012397082,37.14235340720919,20.963566690447564,53.32114012397082,403.02873212180157,432.303326468818
site_DOW_MONTH_Year,Respiratory,Female,Secondary nitrate,Sensitivity model,3-day moving average,1443,488,1.006413984490262,0.934166452843378,1.078661516137146,0.6413984490261981,-6.583354715662204,7.8661516137146,642.3193537306511,671.6515615716231
site_DOW_MONTH_Year,Respiratory,Female,Fresh sea salt mixed with aged emissions,Sensitivity model,3-day moving average,1429,502,1.1805514174544827,1.0952675125311238,1.2658353223778416,18.055141745448267,9.526751253112376,26.58353223778416,904.4740534535155,934.0042542913576
site_DOW_MONTH_Year,Respiratory,Female,Industrial emissions,Sensitivity model,3-day moving average,1444,487,1.1515063140467576,1.0534583880023582,1.249554240091157,15.150631404675764,5.345838800235825,24.955424009115703,550.5938215901093,579.9116704516874
site_DOW_MONTH_Year,Respiratory,Female,Secondary sulfate,Sensitivity model,3-day moving average,1434,497,1.3325865447622156,1.2449409036609285,1.4202321858635027,33.25865447622156,24.49409036609285,42.023218586350275,760.5022861701326,789.962416352809
site_DOW_MONTH_Year,Respiratory,Female,"Combustion of biomass, coal and fossil fuels",Sensitivity model,3-day moving average,1443,488,0.9618056546695226,0.8992949453767012,1.024316363962344,-3.8194345330477386,-10.070505462329882,2.4316363962344045,727.3285848473824,756.6607926883545
site_DOW_MONTH_Year,Respiratory,Male,Mineral dust and soil ressuspension,Sensitivity model,3-day moving average,1722,575,1.3954959963728586,1.3106089552657019,1.4803830374800153,39.54959963728586,31.060895526570185,48.03830374800153,788.8257351957469,819.3063254813284
site_DOW_MONTH_Year,Respiratory,Male,Aged sea salt,Sensitivity model,3-day moving average,1721,576,1.4359665039183702,1.2912625602242116,1.5806704476125288,43.596650391837024,29.12625602242116,58.06704476125289,451.53381558378396,482.0265692086552
site_DOW_MONTH_Year,Respiratory,Male,Secondary nitrate,Sensitivity model,3-day moving average,1701,596,1.0178826348094199,0.952272396007752,1.0834928736110876,1.7882634809419873,-4.772760399224795,8.34928736110876,841.1205055679194,871.8521902373768
site_DOW_MONTH_Year,Respiratory,Male,Fresh sea salt mixed with aged emissions,Sensitivity model,3-day moving average,1715,582,1.1012881515697077,1.032081402405945,1.1704949007334704,10.128815156970772,3.2081402405945036,17.04949007334704,1034.776157239242,1065.341450373362
site_DOW_MONTH_Year,Respiratory,Male,Industrial emissions,Sensitivity model,3-day moving average,1720,577,1.0802169464058933,0.9982719844663445,1.1621619083454422,8.021694640589327,-0.17280155336555358,16.21619083454422,729.8460111515157,760.3509070170724
site_DOW_MONTH_Year,Respiratory,Male,Secondary sulfate,Sensitivity model,3-day moving average,1715,582,1.2700420981962783,1.1919268214024503,1.3481573749901063,27.00420981962783,19.192682140245033,34.81573749901064,969.5061681454899,1000.07146127961
site_DOW_MONTH_Year,Respiratory,Male,"Combustion of biomass, coal and fossil fuels",Sensitivity model,3-day moving average,1715,582,1.0260351237361294,0.9682817685434812,1.0837884789287775,2.6035123736129373,-3.1718231456518753,8.37884789287775,973.0938014646194,1003.6590945987396
site_DOW_MONTH_Year,Circulatory,All,Mineral dust and soil ressuspension,Primary model,3-day moving average,4784,1612,1.3537792835720313,1.2995415435581719,1.4080170235858906,35.377928357203125,29.954154355817188,40.80170235858907,2289.3964451665647,2327.0930616280307
site_DOW_MONTH_Year,Circulatory,All,Aged sea salt,Primary model,3-day moving average,4775,1621,1.5405038954271129,1.4361940712473378,1.644813719606888,54.05038954271129,43.619407124733776,64.48137196068879,1448.2968388310724,1486.032428483222
site_DOW_MONTH_Year,Circulatory,All,Secondary nitrate,Primary model,3-day moving average,4750,1646,0.9972135826192405,0.9550148497501416,1.0394123154883395,-0.2786417380759465,-4.4985150249858386,3.9412315488339456,2806.30640831769,2844.149131986349
site_DOW_MONTH_Year,Circulatory,All,Fresh sea salt mixed with aged emissions,Primary model,3-day moving average,4791,1605,1.0775440841899133,1.0325745093469367,1.12251365903289,7.754408418991332,3.257450934693673,12.251365903288992,3316.3180626596736,3353.9842159086224
site_DOW_MONTH_Year,Circulatory,All,Industrial emissions,Primary model,3-day moving average,4758,1638,1.1753382410758078,1.1261501895273145,1.224526292624301,17.533824107580777,12.61501895273145,22.4526292624301,2292.7265082155054,2330.5351270663964
site_DOW_MONTH_Year,Circulatory,All,Secondary sulfate,Primary model,3-day moving average,4762,1634,1.5261619721588224,1.467531613633414,1.5847923306842309,52.616197215882245,46.7531613633414,58.479233068423085,2686.4685142415806,2724.26001816952
site_DOW_MONTH_Year,Circulatory,All,"Combustion of biomass, coal and fossil fuels",Primary model,3-day moving average,4780,1616,1.0569572413281374,1.018845009633657,1.0950694730226178,5.69572413281374,1.8845009633656984,9.506947302261782,2695.0005004190984,2732.7144650926657
site_DOW_MONTH_Year,Circulatory,Female,Mineral dust and soil ressuspension,Sensitivity model,3-day moving average,2161,723,1.2392991878237896,1.1674230676183022,1.311175308029277,23.929918782378955,16.742306761830218,31.117530802927696,1050.1829421641023,1082.2668067192137
site_DOW_MONTH_Year,Circulatory,Female,Aged sea salt,Sensitivity model,3-day moving average,2144,740,1.5573990107493434,1.4075154346844458,1.707282586814241,55.73990107493434,40.75154346844458,70.7282586814241,569.2628181366797,601.5093694400672
site_DOW_MONTH_Year,Circulatory,Female,Secondary nitrate,Sensitivity model,3-day moving average,2159,725,1.0210921490372948,0.9570531306789882,1.0851311673956014,2.109214903729484,-4.294686932101177,8.513116739560145,1105.5890527441318,1137.6922543281146
site_DOW_MONTH_Year,Circulatory,Female,Fresh sea salt mixed with aged emissions,Sensitivity model,3-day moving average,2160,724,1.063995683827747,0.9945896637645784,1.1334017038909154,6.39956838277469,-0.5410336235421642,13.340170389091544,1390.5967274239802,1422.6902671706803
site_DOW_MONTH_Year,Circulatory,Female,Industrial emissions,Sensitivity model,3-day moving average,2158,726,1.1281799318849928,1.0522247709813302,1.2041350927886554,12.817993188499276,5.222477098133016,20.41350927886554,953.3442910887842,985.4571411925577
site_DOW_MONTH_Year,Circulatory,Female,Secondary sulfate,Sensitivity model,3-day moving average,2160,724,1.3207754810910215,1.2480284541756033,1.3935225080064397,32.07754810910215,24.802845417560327,39.35225080064397,1135.9388351754853,1168.0323749221855
site_DOW_MONTH_Year,Circulatory,Female,"Combustion of biomass, coal and fossil fuels",Sensitivity model,3-day moving average,2150,734,1.0720422869871045,1.0113070646335545,1.1327775093406545,7.2042286987104465,1.1307064633554464,13.277750934065446,1154.0044663252409,1186.1940295255424
site_DOW_MONTH_Year,Circulatory,Male,Mineral dust and soil ressuspension,Sensitivity model,3-day moving average,2627,885,1.3840042230196503,1.31017033828259,1.4578381077567106,38.40042230196503,31.017033828259,45.783810775671064,1127.614785115334,1161.1138986303895
site_DOW_MONTH_Year,Circulatory,Male,Aged sea salt,Sensitivity model,3-day moving average,2631,881,1.4496219611971546,1.3058191872866212,1.593424735107688,44.96219611971546,30.581918728662117,59.3424735107688,766.2278483338354,799.6952517153886
site_DOW_MONTH_Year,Circulatory,Male,Secondary nitrate,Sensitivity model,3-day moving average,2632,880,0.9984200795220968,0.9384467667708642,1.0583933922733293,-0.15799204779032294,-6.155323322913575,5.839339227332929,1283.977276909484,1317.4367302617898
site_DOW_MONTH_Year,Circulatory,Male,Fresh sea salt mixed with aged emissions,Sensitivity model,3-day moving average,2615,897,1.101556191176026,1.040109006774071,1.1630033755779812,10.15561911760261,4.010900677407103,16.300337557798116,1727.0604340243933,1760.6538250588048
